,0,1,2,Type,Contract,Floor,Lift,Surface,Rooms,Bed,Bath,Furnished,Terrace,Garage
10,"€ 2,950/month","2-room flat rue de Mamer, Bertrange",https://www.immotop.lu/en/annonces/1701295/,Apartment,Rent,Ground floor,Yes,86 m²,2,2,1,Yes,Yes,0
11,"€ 2,300/month","1-bedroom flat 2 Place de France, Belair, Luxembourg",https://www.immotop.lu/en/annonces/944451/,Apartment,Rent,2,Yes,42 m²,1,1,1,Yes,0,0
12,"€ 2,300/month","Single-family detached house Duerfstrooss, 69, Tarchamps, Lac de la Haute Sûre",https://www.immotop.lu/en/annonces/1691295/,Single-family detached house,Rent,Ground floor,No,180 m²,3,3,1,0,Yes,0
13,"€ 4,650/month","3-room flat new, second floor, Limpertsberg, Luxembourg",https://www.immotop.lu/en/annonces/1593991/,Apartment,Rent,2,Yes,115 m²,3,3,2,0,No,2 in shared parking
14,"€ 1,900/month","1-bedroom flat third floor, Alzingen, Hesperange",https://www.immotop.lu/en/annonces/1676629/,Apartment,Rent,3,Yes,67 m²,1,1,1,0,No,0
15,"€ 4,400/month","Single-family detached house 200 m², excellent condition, Belair, Luxembourg",https://www.immotop.lu/en/annonces/1700835/,Single-family detached house,Rent,Ground floor,No,200 m²,5+,6,1,0,0,0
16,"€ 3,200/month","Duplex for rent, Moersdorf, Rosport-Mompach",https://www.immotop.lu/en/annonces/1589749/,Duplex,Rent,Ground floor,No,75 m²,3,3,0,0,Yes,0
17,"€ 2,600/month","Duplex for rent, Moersdorf, Rosport-Mompach",https://www.immotop.lu/en/annonces/1589785/,Duplex,Rent,Ground floor,No,60 m²,3,3,0,0,Yes,0
18,"€ 5,000/month","Duplex for rent, Moersdorf, Rosport-Mompach",https://www.immotop.lu/en/annonces/1589787/,Duplex,Rent,Ground floor,No,173 m²,3,3,0,0,Yes,0
19,"€ 1,700/month","2-room flat 7 rue Nicolas Wester, Alzingen, Hesperange",https://www.immotop.lu/en/annonces/243675/,Apartment,Rent,1,No,94 m²,2,2,1,0,Yes,0
20,"€ 3,500/month","Penthouse 100 m² with terrace, Limpertsberg, Luxembourg",https://www.immotop.lu/en/annonces/1695427/,Penthouse,Rent,5,Yes,100 m²,2,2,2,0,Yes,0
21,"€ 1,450/month","1-bedroom flat rue Zithe, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1680715/,Apartment,Rent,5,Yes,67 m²,1,1,1,Yes,0,0
22,"€ 2,000/month","2-room flat 17 route de Boevange, Bissen Localité, Bissen",https://www.immotop.lu/en/annonces/1675141/,Apartment,Rent,Ground floor,Yes,81 m²,2,2,1,0,No,0
23,"€ 1,250/month","Studio for rent, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1696789/,Studio,Rent,Ground floor,No,0,1,1,1,0,No,1 in garage/box
24,"€ 2,250/month","Duplex 16A rue belle vue, Berschbach, Rollingen, Mersch",https://www.immotop.lu/en/annonces/393293/,Duplex,Rent,Ground floor,No,120 m²,0,0,1,0,Yes,1 in garage/box
25,"€ 2,200/month","2-room flat Rue de Contern, Itzig, Hesperange",https://www.immotop.lu/en/annonces/1638171/,Apartment,Rent,1,No,98 m²,2,2,2,0,Yes,"1 in garage/box, 1 in shared parking"
26,"€ 2,150/month","Duplex for rent, Steinsel Localité, Steinsel",https://www.immotop.lu/en/annonces/1695779/,Duplex,Rent,1,No,75 m²,2,2,2,Yes,0,0
27,"€ 3,350/month","Single-family detached house 153 m², Gasperich-Cloche d’or, Luxembourg",https://www.immotop.lu/en/annonces/1678057/,Single-family detached house,Rent,Ground floor,No,153 m²,4,4,2,0,Yes,1 in garage/box
28,"€ 4,000/month","Single-family detached house 22 rue de l'Alzette, Helmsange, Walferdange",https://www.immotop.lu/en/annonces/1661913/,Single-family detached house,Rent,Ground floor,No,260 m²,5,5,2,0,0,0
29,"€ 1,900/month","1-bedroom flat third floor, Muhlenbach, Luxembourg",https://www.immotop.lu/en/annonces/1666521/,Apartment,Rent,3,Yes,67 m²,1,1,1,0,No,0
30,"€ 2,500/month","1-bedroom flat 13, rue d'Orange, Belair, Luxembourg",https://www.immotop.lu/en/annonces/1340847/,Apartment,Rent,2,Yes,52 m²,1,1,1,Yes,0,0
31,"€ 2,800/month","2-room flat excellent condition, ground floor, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1674145/,Apartment,Rent,Ground floor,No,110 m²,2,2,1,0,0,0
32,"€ 1,700/month","1-bedroom flat excellent condition, sixth floor, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/958367/,Apartment,Rent,6,Yes,50 m²,1,1,1,Yes,0,0
33,"€ 1,500/month","1-bedroom flat excellent condition, first floor, Lintgen Localité, Lintgen",https://www.immotop.lu/en/annonces/1695181/,Apartment | Timeshare,Rent,1,Yes,65 m²,1,1,1,Only Kitchen Furnished,0,0
34,"€ 2,250/month","2-room flat Boulevard de la Fraternité, Bonnevoie-Verlorenkost, Luxembourg",https://www.immotop.lu/en/annonces/1693101/,Apartment,Rent,2,No,84 m²,2,2,1,0,0,0
35,"€ 1,700/month","1-bedroom flat 22, Val saint André, Rollingergrund, Luxembourg",https://www.immotop.lu/en/annonces/1659203/,Apartment,Rent,2,No,45 m²,1,1,0,0,No,1 in garage/box
36,"€ 1,725/month","2-room flat ground floor, Aspelt, Frisange",https://www.immotop.lu/en/annonces/1673837/,Apartment,Rent,Ground floor,No,91 m²,2,2,1,0,Yes,"1 in garage/box, 1 in shared parking"
37,"€ 1,900/month","2-room flat excellent condition, first floor, Bech Localité, Bech",https://www.immotop.lu/en/annonces/1703415/,Apartment,Rent,1,No,95 m²,2,2,1,0,0,0
38,"€ 2,550/month","2-room flat excellent condition, first floor, Gare, Luxembourg",https://www.immotop.lu/en/annonces/1579699/,Apartment,Rent,1,No,97 m²,2,2,1,Yes,0,0
39,"€ 3,200/month","2-room flat rue Jean l'Aveugle, Limpertsberg, Luxembourg",https://www.immotop.lu/en/annonces/1703389/,Apartment,Rent,1,Yes,95 m²,2,2,1,Yes,0,0
40,"€ 2,000/month","2-room flat third floor, Roeser Localité, Roeser",https://www.immotop.lu/en/annonces/1686945/,Apartment,Rent,3,No,96 m²,2,2,1,Yes,No,0
41,"€ 1,800/month","1-bedroom flat first floor, Belair, Luxembourg",https://www.immotop.lu/en/annonces/1687265/,Apartment,Rent,1,No,0,1,1,1,Yes,0,0
42,"€ 2,150/month","Duplex for rent, Strassen",https://www.immotop.lu/en/annonces/1694043/,Duplex,Rent,3,No,80 m²,2,2,1,0,No,1 in garage/box
43,"€ 1,500/month","1-bedroom flat second floor, Ettelbruck Localité, Ettelbruck",https://www.immotop.lu/en/annonces/1701761/,Apartment,Rent,2,No,62 m²,1,1,1,0,0,0
