index,title,link,Type,Contract,Floor,Lift,Surface,Rooms,Bed,Bath,Furnished,Terrace,Garage,price
38,"2-room flat excellent condition, first floor, Gare, Luxembourg",https://www.immotop.lu/en/annonces/1579699/,Apartment,Rent,1,No,97 m²,2,2,1,Yes,0,0,"€ 2,550/month"
39,"2-room flat rue Jean l'Aveugle, Limpertsberg, Luxembourg",https://www.immotop.lu/en/annonces/1703389/,Apartment,Rent,1,Yes,95 m²,2,2,1,Yes,0,0,"€ 3,200/month"
40,"2-room flat third floor, Roeser Localité, Roeser",https://www.immotop.lu/en/annonces/1686945/,Apartment,Rent,3,No,96 m²,2,2,1,Yes,No,0,"€ 2,000/month"
41,"1-bedroom flat first floor, Belair, Luxembourg",https://www.immotop.lu/en/annonces/1687265/,Apartment,Rent,1,No,0,1,1,1,Yes,0,0,"€ 1,800/month"
42,"Duplex for rent, Strassen",https://www.immotop.lu/en/annonces/1694043/,Duplex,Rent,3,No,80 m²,2,2,1,0,No,1 in garage/box,"€ 2,150/month"
43,"1-bedroom flat second floor, Ettelbruck Localité, Ettelbruck",https://www.immotop.lu/en/annonces/1701761/,Apartment,Rent,2,No,62 m²,1,1,1,0,0,0,"€ 1,500/month"
44,"1-bedroom flat 8 Rue de Beggen, 1220 Eich Luxembourg, Eich, Luxembourg",https://www.immotop.lu/en/annonces/1479779/,Apartment,Rent,Ground floor,Yes,65 m²,1,1,1,Yes,0,0,"€ 2,380/month"
45,"2-room flat Rue Lucien Thiel,ID7, Luxembourg, Kirchberg, Luxembourg",https://www.immotop.lu/en/annonces/1605079/,Apartment,Rent,6,Yes,87 m²,2,2,1,Yes,0,0,"€ 3,940/month"
46,"Single-family detached house 125 m², Bous Localité, Bous",https://www.immotop.lu/en/annonces/1659767/,Single-family detached house,Rent,Ground floor,No,125 m²,3,3,1,0,Yes,0,"€ 2,500/month"
47,"1-bedroom flat new, ground floor, Gare, Luxembourg",https://www.immotop.lu/en/annonces/1659141/,Apartment,Rent,Ground floor,Yes,66 m²,1,1,1,0,No,1 in shared parking,"€ 1,850/month"
